codigo_seguimiento,retailer,servicio,hub_origen,comuna_destino,fecha_compra,fecha_promesa,fecha_entrega_real,estado,intentos_entrega,motivo_falla,transportista_tipo,peso_kg,ventana_horaria,temporada,plazo_extendido_informado,observacion
LR-2026-004182,TiendaNova,ND,Quilicura,Maipu,2026-09-15,2026-09-16,,EN_RUTA,0,M01,Propio,2.4,09:00-14:00,ALTA,NO,Ruta R-118 retorno a hub sin intento por cierre de Avenida Pajaritos
LR-2026-005271,MegaHogar,ST,San Bernardo,Puente Alto,2026-09-11,2026-09-16,,INTENTO_FALLIDO,2,M02,Propio,8.1,14:00-19:00,ALTA,SI,"Domicilio sin moradores en ambos intentos, timbre sin respuesta"
LR-2026-006123,ZapatoExpress,ND,Pudahuel,La Florida,2026-09-17,2026-09-18,,DIRECCION_OBSERVADA,1,M03,Freelance,0.9,09:00-14:00,ALTA,SI,"Direccion sin numero ni departamento, cliente no contesta llamado"
LR-2026-007334,ElectroMax,SD,Quilicura,Las Condes,2026-09-16,2026-09-16,,EN_HUB,0,M04,Propio,14.2,09:00-13:00,ALTA,NO,Detenido en hub desde 2026-09-16 sin asignacion de ruta por sobrecarga de clasificacion
LR-2026-008455,DecoCasa,ST,San Bernardo,Nunoa,2026-09-14,2026-09-17,2026-09-18,ENTREGADO,1,M01,Freelance,5.6,14:00-19:00,ALTA,NO,Entregado un dia despues de la fecha promesa informada al consumidor
LR-2026-009011,TiendaNova,ND,Pudahuel,Penalolen,2026-09-12,2026-09-15,,INCIDENTE,0,M07,Freelance,1.3,09:00-14:00,ALTA,SI,"Sin movimiento registrado desde 2026-09-13, paquete no localizable en red"
LR-2026-004190,TiendaNova,ND,Quilicura,Providencia,2026-09-15,2026-09-16,2026-09-16,ENTREGADO,1,,Propio,1.1,09:00-14:00,ALTA,NO,Entrega conforme en primer intento
LR-2026-004203,TiendaNova,ST,Quilicura,Santiago,2026-09-14,2026-09-17,2026-09-17,ENTREGADO,1,,Propio,3.2,14:00-19:00,ALTA,NO,Entrega conforme
LR-2026-004211,TiendaNova,ND,Quilicura,Maipu,2026-09-15,2026-09-16,,EN_RUTA,0,M01,Propio,2.0,09:00-14:00,ALTA,NO,Ruta R-118 afectada por el mismo cierre vial
LR-2026-004225,TiendaNova,ND,Quilicura,Pudahuel,2026-09-15,2026-09-16,,EN_RUTA,0,M01,Propio,4.5,09:00-14:00,ALTA,NO,Ruta R-118 afectada por el mismo cierre vial
